Loaded data with shape: (50, 101, 1024), (50, 101, 1024), (50, 101, 1024), (101,)
##### Running the solver on the given dataset #####
Using device: cuda
Time: 0.000000, dt: 0.000010, Target: 0.010000, Max vel: 2.2404, Min density: 1.0237e+00, Min pressure: 1.0163e+01
Time: 0.028001, dt: 0.000010, Target: 0.030000, Max vel: 2.3616, Min density: 1.2062e+00, Min pressure: 1.1430e+01
Time: 0.029003, dt: 0.000010, Target: 0.030000, Max vel: 2.3521, Min density: 1.2055e+00, Min pressure: 1.1439e+01
Time: 0.030010, dt: 0.000010, Target: 0.040000, Max vel: 2.3420, Min density: 1.2057e+00, Min pressure: 1.1446e+01
Time: 0.031001, dt: 0.000010, Target: 0.040000, Max vel: 2.3315, Min density: 1.2067e+00, Min pressure: 1.1452e+01
Time: 0.032003, dt: 0.000010, Target: 0.040000, Max vel: 2.3204, Min density: 1.2084e+00, Min pressure: 1.1457e+01
Time: 0.033004, dt: 0.000010, Target: 0.040000, Max vel: 2.3089, Min density: 1.2109e+00, Min pressure: 1.1461e+01
Time: 0.034005, dt: 0.000010, Target: 0.040000, Max vel: 2.2972, Min density: 1.2141e+00, Min pressure: 1.1462e+01
Time: 0.035007, dt: 0.000010, Target: 0.040000, Max vel: 2.2850, Min density: 1.2179e+00, Min pressure: 1.1459e+01
Time: 0.036008, dt: 0.000010, Target: 0.040000, Max vel: 2.2726, Min density: 1.2224e+00, Min pressure: 1.1436e+01
Time: 0.037010, dt: 0.000010, Target: 0.040000, Max vel: 2.2600, Min density: 1.2275e+00, Min pressure: 1.1412e+01
Time: 0.038001, dt: 0.000010, Target: 0.040000, Max vel: 2.2472, Min density: 1.2330e+00, Min pressure: 1.1387e+01
Time: 0.039003, dt: 0.000010, Target: 0.040000, Max vel: 2.2341, Min density: 1.2390e+00, Min pressure: 1.1362e+01
Time: 0.040010, dt: 0.000010, Target: 0.050000, Max vel: 2.2325, Min density: 1.2455e+00, Min pressure: 1.1338e+01
Time: 0.041001, dt: 0.000010, Target: 0.050000, Max vel: 2.2303, Min density: 1.2522e+00, Min pressure: 1.1315e+01
Time: 0.042003, dt: 0.000010, Target: 0.050000, Max vel: 2.2258, Min density: 1.2593e+00, Min pressure: 1.1292e+01
Time: 0.043004, dt: 0.000010, Target: 0.050000, Max vel: 2.2191, Min density: 1.2666e+00, Min pressure: 1.1270e+01
Time: 0.044005, dt: 0.000010, Target: 0.050000, Max vel: 2.2102, Min density: 1.2741e+00, Min pressure: 1.1249e+01
Time: 0.045007, dt: 0.000010, Target: 0.050000, Max vel: 2.1992, Min density: 1.2817e+00, Min pressure: 1.1229e+01
Time: 0.046008, dt: 0.000010, Target: 0.050000, Max vel: 2.1860, Min density: 1.2894e+00, Min pressure: 1.1210e+01
Time: 0.047010, dt: 0.000010, Target: 0.050000, Max vel: 2.1708, Min density: 1.2971e+00, Min pressure: 1.1191e+01
Time: 0.048001, dt: 0.000010, Target: 0.050000, Max vel: 2.1538, Min density: 1.3048e+00, Min pressure: 1.1174e+01
Time: 0.049003, dt: 0.000010, Target: 0.050000, Max vel: 2.1348, Min density: 1.3124e+00, Min pressure: 1.1157e+01
Time: 0.050010, dt: 0.000010, Target: 0.060000, Max vel: 2.1137, Min density: 1.3201e+00, Min pressure: 1.1140e+01
Time: 0.051001, dt: 0.000010, Target: 0.060000, Max vel: 2.0913, Min density: 1.3274e+00, Min pressure: 1.1125e+01
Time: 0.052003, dt: 0.000010, Target: 0.060000, Max vel: 2.0671, Min density: 1.3347e+00, Min pressure: 1.1111e+01
Time: 0.053004, dt: 0.000010, Target: 0.060000, Max vel: 2.0413, Min density: 1.3418e+00, Min pressure: 1.1097e+01
Time: 0.054005, dt: 0.000010, Target: 0.060000, Max vel: 2.0141, Min density: 1.3487e+00, Min pressure: 1.1084e+01
Time: 0.055007, dt: 0.000010, Target: 0.060000, Max vel: 1.9855, Min density: 1.3544e+00, Min pressure: 1.1071e+01
Time: 0.056008, dt: 0.000010, Target: 0.060000, Max vel: 1.9557, Min density: 1.3600e+00, Min pressure: 1.1059e+01
Time: 0.057010, dt: 0.000010, Target: 0.060000, Max vel: 1.9273, Min density: 1.3652e+00, Min pressure: 1.1048e+01
Time: 0.058001, dt: 0.000010, Target: 0.060000, Max vel: 1.9054, Min density: 1.3693e+00, Min pressure: 1.1038e+01
Time: 0.059003, dt: 0.000010, Target: 0.060000, Max vel: 1.8828, Min density: 1.3694e+00, Min pressure: 1.1028e+01
Time: 0.060010, dt: 0.000010, Target: 0.070000, Max vel: 1.8596, Min density: 1.3696e+00, Min pressure: 1.1019e+01
Time: 0.061001, dt: 0.000010, Target: 0.070000, Max vel: 1.8362, Min density: 1.3697e+00, Min pressure: 1.1011e+01
Time: 0.062003, dt: 0.000010, Target: 0.070000, Max vel: 1.8123, Min density: 1.3699e+00, Min pressure: 1.1003e+01
Time: 0.063004, dt: 0.000010, Target: 0.070000, Max vel: 1.7879, Min density: 1.3701e+00, Min pressure: 1.0996e+01
Time: 0.064005, dt: 0.000010, Target: 0.070000, Max vel: 1.7632, Min density: 1.3702e+00, Min pressure: 1.0989e+01
Time: 0.065007, dt: 0.000010, Target: 0.070000, Max vel: 1.7382, Min density: 1.3704e+00, Min pressure: 1.0982e+01
Time: 0.066008, dt: 0.000010, Target: 0.070000, Max vel: 1.7128, Min density: 1.3706e+00, Min pressure: 1.0977e+01
Time: 0.067010, dt: 0.000010, Target: 0.070000, Max vel: 1.6872, Min density: 1.3708e+00, Min pressure: 1.0971e+01
Time: 0.068001, dt: 0.000010, Target: 0.070000, Max vel: 1.6617, Min density: 1.3709e+00, Min pressure: 1.0967e+01
Time: 0.069003, dt: 0.000010, Target: 0.070000, Max vel: 1.6446, Min density: 1.3711e+00, Min pressure: 1.0962e+01
Time: 0.070000, dt: 0.000010, Target: 0.080000, Max vel: 1.6379, Min density: 1.3713e+00, Min pressure: 1.0959e+01
Time: 0.071001, dt: 0.000010, Target: 0.080000, Max vel: 1.6311, Min density: 1.3715e+00, Min pressure: 1.0955e+01
Time: 0.072003, dt: 0.000010, Target: 0.080000, Max vel: 1.6243, Min density: 1.3717e+00, Min pressure: 1.0952e+01
Time: 0.073004, dt: 0.000010, Target: 0.080000, Max vel: 1.6175, Min density: 1.3719e+00, Min pressure: 1.0950e+01
Time: 0.074005, dt: 0.000010, Target: 0.080000, Max vel: 1.6106, Min density: 1.3721e+00, Min pressure: 1.0948e+01
Time: 0.075007, dt: 0.000010, Target: 0.080000, Max vel: 1.6037, Min density: 1.3723e+00, Min pressure: 1.0946e+01
Time: 0.076008, dt: 0.000010, Target: 0.080000, Max vel: 1.5968, Min density: 1.3725e+00, Min pressure: 1.0945e+01
Time: 0.077010, dt: 0.000010, Target: 0.080000, Max vel: 1.5899, Min density: 1.3726e+00, Min pressure: 1.0944e+01
Time: 0.078001, dt: 0.000010, Target: 0.080000, Max vel: 1.5830, Min density: 1.3728e+00, Min pressure: 1.0943e+01
Time: 0.079003, dt: 0.000010, Target: 0.080000, Max vel: 1.5761, Min density: 1.3730e+00, Min pressure: 1.0943e+01
Time: 0.080010, dt: 0.000010, Target: 0.090000, Max vel: 1.5690, Min density: 1.3732e+00, Min pressure: 1.0943e+01
Time: 0.081001, dt: 0.000010, Target: 0.090000, Max vel: 1.5621, Min density: 1.3734e+00, Min pressure: 1.0944e+01
Time: 0.082003, dt: 0.000010, Target: 0.090000, Max vel: 1.5551, Min density: 1.3736e+00, Min pressure: 1.0944e+01
Time: 0.083004, dt: 0.000010, Target: 0.090000, Max vel: 1.5481, Min density: 1.3738e+00, Min pressure: 1.0946e+01
Time: 0.084005, dt: 0.000010, Target: 0.090000, Max vel: 1.5411, Min density: 1.3740e+00, Min pressure: 1.0947e+01
Time: 0.085007, dt: 0.000010, Target: 0.090000, Max vel: 1.5341, Min density: 1.3742e+00, Min pressure: 1.0949e+01
Time: 0.086008, dt: 0.000010, Target: 0.090000, Max vel: 1.5271, Min density: 1.3744e+00, Min pressure: 1.0951e+01
Time: 0.087010, dt: 0.000010, Target: 0.090000, Max vel: 1.5200, Min density: 1.3746e+00, Min pressure: 1.0953e+01
Time: 0.088001, dt: 0.000010, Target: 0.090000, Max vel: 1.5131, Min density: 1.3748e+00, Min pressure: 1.0956e+01
Time: 0.089003, dt: 0.000010, Target: 0.090000, Max vel: 1.5060, Min density: 1.3750e+00, Min pressure: 1.0959e+01
Time: 0.090010, dt: 0.000010, Target: 0.100000, Max vel: 1.4990, Min density: 1.3751e+00, Min pressure: 1.0962e+01
Time: 0.091001, dt: 0.000010, Target: 0.100000, Max vel: 1.4920, Min density: 1.3753e+00, Min pressure: 1.0966e+01
Time: 0.092003, dt: 0.000010, Target: 0.100000, Max vel: 1.4850, Min density: 1.3754e+00, Min pressure: 1.0970e+01
Time: 0.093004, dt: 0.000010, Target: 0.100000, Max vel: 1.4780, Min density: 1.3755e+00, Min pressure: 1.0974e+01
Time: 0.094005, dt: 0.000010, Target: 0.100000, Max vel: 1.4710, Min density: 1.3756e+00, Min pressure: 1.0978e+01
Time: 0.095007, dt: 0.000010, Target: 0.100000, Max vel: 1.4640, Min density: 1.3757e+00, Min pressure: 1.0983e+01
Time: 0.096008, dt: 0.000010, Target: 0.100000, Max vel: 1.4570, Min density: 1.3758e+00, Min pressure: 1.0988e+01
Time: 0.097010, dt: 0.000010, Target: 0.100000, Max vel: 1.4500, Min density: 1.3758e+00, Min pressure: 1.0993e+01
Time: 0.098001, dt: 0.000010, Target: 0.100000, Max vel: 1.4431, Min density: 1.3758e+00, Min pressure: 1.0998e+01
Time: 0.099003, dt: 0.000010, Target: 0.100000, Max vel: 1.4362, Min density: 1.3757e+00, Min pressure: 1.1004e+01
Time: 0.100010, dt: 0.000010, Target: 0.110000, Max vel: 1.4292, Min density: 1.3757e+00, Min pressure: 1.1010e+01
Time: 0.101001, dt: 0.000010, Target: 0.110000, Max vel: 1.4224, Min density: 1.3755e+00, Min pressure: 1.1016e+01
Time: 0.102003, dt: 0.000010, Target: 0.110000, Max vel: 1.4155, Min density: 1.3754e+00, Min pressure: 1.1022e+01
Time: 0.103004, dt: 0.000010, Target: 0.110000, Max vel: 1.4086, Min density: 1.3751e+00, Min pressure: 1.1029e+01
Time: 0.104005, dt: 0.000010, Target: 0.110000, Max vel: 1.4018, Min density: 1.3748e+00, Min pressure: 1.1036e+01
Time: 0.105007, dt: 0.000010, Target: 0.110000, Max vel: 1.4038, Min density: 1.3745e+00, Min pressure: 1.1043e+01
Time: 0.106008, dt: 0.000010, Target: 0.110000, Max vel: 1.4199, Min density: 1.3740e+00, Min pressure: 1.1051e+01
Time: 0.107010, dt: 0.000010, Target: 0.110000, Max vel: 1.4351, Min density: 1.3735e+00, Min pressure: 1.1058e+01
Time: 0.108001, dt: 0.000010, Target: 0.110000, Max vel: 1.4493, Min density: 1.3728e+00, Min pressure: 1.1066e+01
Time: 0.109003, dt: 0.000010, Target: 0.110000, Max vel: 1.4627, Min density: 1.3721e+00, Min pressure: 1.1074e+01
Time: 0.110010, dt: 0.000010, Target: 0.120000, Max vel: 1.4752, Min density: 1.3712e+00, Min pressure: 1.1083e+01
Time: 0.111001, dt: 0.000010, Target: 0.120000, Max vel: 1.4866, Min density: 1.3702e+00, Min pressure: 1.1091e+01
Time: 0.112003, dt: 0.000010, Target: 0.120000, Max vel: 1.4972, Min density: 1.3691e+00, Min pressure: 1.1100e+01
Time: 0.113004, dt: 0.000010, Target: 0.120000, Max vel: 1.5069, Min density: 1.3679e+00, Min pressure: 1.1109e+01
Time: 0.114005, dt: 0.000010, Target: 0.120000, Max vel: 1.5156, Min density: 1.3665e+00, Min pressure: 1.1118e+01
Time: 0.115007, dt: 0.000010, Target: 0.120000, Max vel: 1.5235, Min density: 1.3652e+00, Min pressure: 1.1128e+01
Time: 0.116008, dt: 0.000010, Target: 0.120000, Max vel: 1.5305, Min density: 1.3638e+00, Min pressure: 1.1138e+01
Time: 0.117010, dt: 0.000010, Target: 0.120000, Max vel: 1.5366, Min density: 1.3624e+00, Min pressure: 1.1148e+01
Time: 0.118001, dt: 0.000010, Target: 0.120000, Max vel: 1.5417, Min density: 1.3611e+00, Min pressure: 1.1158e+01
Time: 0.119003, dt: 0.000010, Target: 0.120000, Max vel: 1.5461, Min density: 1.3597e+00, Min pressure: 1.1168e+01
Time: 0.120010, dt: 0.000010, Target: 0.130000, Max vel: 1.5496, Min density: 1.3584e+00, Min pressure: 1.1179e+01
Time: 0.121001, dt: 0.000010, Target: 0.130000, Max vel: 1.5522, Min density: 1.3572e+00, Min pressure: 1.1190e+01
Time: 0.122003, dt: 0.000010, Target: 0.130000, Max vel: 1.5541, Min density: 1.3560e+00, Min pressure: 1.1201e+01
Time: 0.123004, dt: 0.000010, Target: 0.130000, Max vel: 1.5552, Min density: 1.3548e+00, Min pressure: 1.1212e+01
Time: 0.124005, dt: 0.000010, Target: 0.130000, Max vel: 1.5555, Min density: 1.3537e+00, Min pressure: 1.1224e+01
Time: 0.125007, dt: 0.000010, Target: 0.130000, Max vel: 1.5550, Min density: 1.3526e+00, Min pressure: 1.1236e+01
Time: 0.126008, dt: 0.000010, Target: 0.130000, Max vel: 1.5538, Min density: 1.3516e+00, Min pressure: 1.1248e+01
Time: 0.127010, dt: 0.000010, Target: 0.130000, Max vel: 1.5519, Min density: 1.3506e+00, Min pressure: 1.1260e+01
Time: 0.128001, dt: 0.000010, Target: 0.130000, Max vel: 1.5494, Min density: 1.3497e+00, Min pressure: 1.1272e+01
Time: 0.129003, dt: 0.000010, Target: 0.130000, Max vel: 1.5461, Min density: 1.3488e+00, Min pressure: 1.1285e+01
Time: 0.130010, dt: 0.000010, Target: 0.140000, Max vel: 1.5422, Min density: 1.3479e+00, Min pressure: 1.1298e+01
Time: 0.131001, dt: 0.000010, Target: 0.140000, Max vel: 1.5377, Min density: 1.3471e+00, Min pressure: 1.1311e+01
Time: 0.132003, dt: 0.000010, Target: 0.140000, Max vel: 1.5326, Min density: 1.3464e+00, Min pressure: 1.1325e+01
Time: 0.133004, dt: 0.000010, Target: 0.140000, Max vel: 1.5269, Min density: 1.3457e+00, Min pressure: 1.1338e+01
Time: 0.134005, dt: 0.000010, Target: 0.140000, Max vel: 1.5206, Min density: 1.3451e+00, Min pressure: 1.1352e+01
Time: 0.135007, dt: 0.000010, Target: 0.140000, Max vel: 1.5138, Min density: 1.3445e+00, Min pressure: 1.1366e+01
Time: 0.136008, dt: 0.000010, Target: 0.140000, Max vel: 1.5065, Min density: 1.3440e+00, Min pressure: 1.1380e+01
Time: 0.137010, dt: 0.000010, Target: 0.140000, Max vel: 1.4988, Min density: 1.3435e+00, Min pressure: 1.1395e+01
Time: 0.138001, dt: 0.000010, Target: 0.140000, Max vel: 1.4906, Min density: 1.3431e+00, Min pressure: 1.1409e+01
Time: 0.139003, dt: 0.000010, Target: 0.140000, Max vel: 1.4820, Min density: 1.3428e+00, Min pressure: 1.1424e+01
Time: 0.140000, dt: 0.000010, Target: 0.150000, Max vel: 1.4729, Min density: 1.3425e+00, Min pressure: 1.1439e+01
Time: 0.141001, dt: 0.000010, Target: 0.150000, Max vel: 1.4635, Min density: 1.3422e+00, Min pressure: 1.1455e+01
Time: 0.142003, dt: 0.000010, Target: 0.150000, Max vel: 1.4537, Min density: 1.3420e+00, Min pressure: 1.1470e+01
Time: 0.143004, dt: 0.000010, Target: 0.150000, Max vel: 1.4435, Min density: 1.3419e+00, Min pressure: 1.1486e+01
Time: 0.144005, dt: 0.000010, Target: 0.150000, Max vel: 1.4331, Min density: 1.3418e+00, Min pressure: 1.1502e+01
Time: 0.145007, dt: 0.000010, Target: 0.150000, Max vel: 1.4224, Min density: 1.3417e+00, Min pressure: 1.1518e+01
Time: 0.146008, dt: 0.000010, Target: 0.150000, Max vel: 1.4114, Min density: 1.3417e+00, Min pressure: 1.1534e+01
Time: 0.147010, dt: 0.000010, Target: 0.150000, Max vel: 1.4002, Min density: 1.3418e+00, Min pressure: 1.1551e+01
Time: 0.148001, dt: 0.000010, Target: 0.150000, Max vel: 1.3888, Min density: 1.3419e+00, Min pressure: 1.1568e+01
Time: 0.149003, dt: 0.000010, Target: 0.150000, Max vel: 1.3772, Min density: 1.3421e+00, Min pressure: 1.1585e+01
Time: 0.150010, dt: 0.000010, Target: 0.160000, Max vel: 1.3653, Min density: 1.3423e+00, Min pressure: 1.1602e+01
Time: 0.151001, dt: 0.000010, Target: 0.160000, Max vel: 1.3535, Min density: 1.3425e+00, Min pressure: 1.1619e+01
Time: 0.152003, dt: 0.000010, Target: 0.160000, Max vel: 1.3415, Min density: 1.3428e+00, Min pressure: 1.1637e+01
Time: 0.153004, dt: 0.000010, Target: 0.160000, Max vel: 1.3293, Min density: 1.3432e+00, Min pressure: 1.1654e+01
Time: 0.154005, dt: 0.000010, Target: 0.160000, Max vel: 1.3171, Min density: 1.3436e+00, Min pressure: 1.1672e+01
Time: 0.155007, dt: 0.000010, Target: 0.160000, Max vel: 1.3049, Min density: 1.3440e+00, Min pressure: 1.1690e+01
Time: 0.156008, dt: 0.000010, Target: 0.160000, Max vel: 1.2926, Min density: 1.3445e+00, Min pressure: 1.1709e+01
Time: 0.157009, dt: 0.000010, Target: 0.160000, Max vel: 1.2804, Min density: 1.3450e+00, Min pressure: 1.1727e+01
Time: 0.158001, dt: 0.000010, Target: 0.160000, Max vel: 1.2682, Min density: 1.3455e+00, Min pressure: 1.1746e+01
Time: 0.159003, dt: 0.000010, Target: 0.160000, Max vel: 1.2561, Min density: 1.3461e+00, Min pressure: 1.1765e+01
Time: 0.160010, dt: 0.000010, Target: 0.170000, Max vel: 1.2439, Min density: 1.3468e+00, Min pressure: 1.1784e+01
Time: 0.161001, dt: 0.000010, Target: 0.170000, Max vel: 1.2321, Min density: 1.3474e+00, Min pressure: 1.1803e+01
Time: 0.162003, dt: 0.000010, Target: 0.170000, Max vel: 1.2203, Min density: 1.3481e+00, Min pressure: 1.1822e+01
Time: 0.163004, dt: 0.000010, Target: 0.170000, Max vel: 1.2087, Min density: 1.3488e+00, Min pressure: 1.1842e+01
Time: 0.164005, dt: 0.000010, Target: 0.170000, Max vel: 1.1973, Min density: 1.3496e+00, Min pressure: 1.1861e+01
Time: 0.165007, dt: 0.000010, Target: 0.170000, Max vel: 1.1862, Min density: 1.3504e+00, Min pressure: 1.1881e+01
Time: 0.166008, dt: 0.000010, Target: 0.170000, Max vel: 1.1753, Min density: 1.3512e+00, Min pressure: 1.1901e+01
Time: 0.167010, dt: 0.000010, Target: 0.170000, Max vel: 1.1649, Min density: 1.3521e+00, Min pressure: 1.1922e+01
Time: 0.168001, dt: 0.000010, Target: 0.170000, Max vel: 1.1549, Min density: 1.3530e+00, Min pressure: 1.1942e+01
Time: 0.169003, dt: 0.000010, Target: 0.170000, Max vel: 1.1453, Min density: 1.3539e+00, Min pressure: 1.1962e+01
Time: 0.170000, dt: 0.000010, Target: 0.180000, Max vel: 1.1363, Min density: 1.3548e+00, Min pressure: 1.1983e+01
Time: 0.171001, dt: 0.000010, Target: 0.180000, Max vel: 1.1279, Min density: 1.3557e+00, Min pressure: 1.2004e+01
Time: 0.172003, dt: 0.000010, Target: 0.180000, Max vel: 1.1202, Min density: 1.3567e+00, Min pressure: 1.2025e+01
Time: 0.173004, dt: 0.000010, Target: 0.180000, Max vel: 1.1133, Min density: 1.3577e+00, Min pressure: 1.2046e+01
Time: 0.174005, dt: 0.000010, Target: 0.180000, Max vel: 1.1074, Min density: 1.3587e+00, Min pressure: 1.2067e+01
Time: 0.175007, dt: 0.000010, Target: 0.180000, Max vel: 1.1025, Min density: 1.3597e+00, Min pressure: 1.2089e+01
Time: 0.176008, dt: 0.000010, Target: 0.180000, Max vel: 1.0989, Min density: 1.3608e+00, Min pressure: 1.2110e+01
Time: 0.177010, dt: 0.000010, Target: 0.180000, Max vel: 1.0965, Min density: 1.3618e+00, Min pressure: 1.2132e+01
Time: 0.178001, dt: 0.000010, Target: 0.180000, Max vel: 1.0957, Min density: 1.3629e+00, Min pressure: 1.2154e+01
Time: 0.179003, dt: 0.000010, Target: 0.180000, Max vel: 1.0963, Min density: 1.3640e+00, Min pressure: 1.2176e+01
Time: 0.180010, dt: 0.000010, Target: 0.190000, Max vel: 1.0983, Min density: 1.3651e+00, Min pressure: 1.2198e+01
Time: 0.181001, dt: 0.000010, Target: 0.190000, Max vel: 1.1016, Min density: 1.3662e+00, Min pressure: 1.2220e+01
Time: 0.182003, dt: 0.000010, Target: 0.190000, Max vel: 1.1059, Min density: 1.3673e+00, Min pressure: 1.2243e+01
Time: 0.183004, dt: 0.000010, Target: 0.190000, Max vel: 1.1110, Min density: 1.3684e+00, Min pressure: 1.2265e+01
Time: 0.184005, dt: 0.000010, Target: 0.190000, Max vel: 1.1166, Min density: 1.3695e+00, Min pressure: 1.2288e+01
Time: 0.185007, dt: 0.000010, Target: 0.190000, Max vel: 1.1226, Min density: 1.3707e+00, Min pressure: 1.2311e+01
Time: 0.186008, dt: 0.000010, Target: 0.190000, Max vel: 1.1288, Min density: 1.3718e+00, Min pressure: 1.2334e+01
Time: 0.187009, dt: 0.000010, Target: 0.190000, Max vel: 1.1351, Min density: 1.3729e+00, Min pressure: 1.2357e+01
Time: 0.188001, dt: 0.000010, Target: 0.190000, Max vel: 1.1413, Min density: 1.3740e+00, Min pressure: 1.2380e+01
Time: 0.189003, dt: 0.000010, Target: 0.190000, Max vel: 1.1475, Min density: 1.3752e+00, Min pressure: 1.2403e+01
Time: 0.190010, dt: 0.000010, Target: 0.200000, Max vel: 1.1537, Min density: 1.3763e+00, Min pressure: 1.2426e+01
Time: 0.191001, dt: 0.000010, Target: 0.200000, Max vel: 1.1596, Min density: 1.3774e+00, Min pressure: 1.2450e+01
Time: 0.192003, dt: 0.000010, Target: 0.200000, Max vel: 1.1653, Min density: 1.3786e+00, Min pressure: 1.2473e+01
Time: 0.193004, dt: 0.000010, Target: 0.200000, Max vel: 1.1709, Min density: 1.3797e+00, Min pressure: 1.2497e+01
Time: 0.194005, dt: 0.000010, Target: 0.200000, Max vel: 1.1762, Min density: 1.3808e+00, Min pressure: 1.2521e+01
Time: 0.195007, dt: 0.000010, Target: 0.200000, Max vel: 1.1813, Min density: 1.3819e+00, Min pressure: 1.2545e+01
Time: 0.196008, dt: 0.000010, Target: 0.200000, Max vel: 1.1862, Min density: 1.3830e+00, Min pressure: 1.2569e+01
Time: 0.197010, dt: 0.000010, Target: 0.200000, Max vel: 1.1908, Min density: 1.3841e+00, Min pressure: 1.2593e+01
Time: 0.198001, dt: 0.000010, Target: 0.200000, Max vel: 1.1951, Min density: 1.3851e+00, Min pressure: 1.2617e+01
Time: 0.199003, dt: 0.000010, Target: 0.200000, Max vel: 1.1992, Min density: 1.3862e+00, Min pressure: 1.2641e+01
Time: 0.200010, dt: 0.000010, Target: 0.210000, Max vel: 1.2030, Min density: 1.3872e+00, Min pressure: 1.2666e+01
Time: 0.201001, dt: 0.000010, Target: 0.210000, Max vel: 1.2064, Min density: 1.3882e+00, Min pressure: 1.2690e+01
Time: 0.202003, dt: 0.000010, Target: 0.210000, Max vel: 1.2097, Min density: 1.3892e+00, Min pressure: 1.2715e+01
Time: 0.203004, dt: 0.000010, Target: 0.210000, Max vel: 1.2126, Min density: 1.3902e+00, Min pressure: 1.2739e+01
Time: 0.204005, dt: 0.000010, Target: 0.210000, Max vel: 1.2152, Min density: 1.3912e+00, Min pressure: 1.2764e+01
Time: 0.205007, dt: 0.000010, Target: 0.210000, Max vel: 1.2176, Min density: 1.3921e+00, Min pressure: 1.2789e+01
Time: 0.206008, dt: 0.000010, Target: 0.210000, Max vel: 1.2197, Min density: 1.3930e+00, Min pressure: 1.2814e+01
Time: 0.207009, dt: 0.000010, Target: 0.210000, Max vel: 1.2215, Min density: 1.3939e+00, Min pressure: 1.2839e+01
Time: 0.208001, dt: 0.000010, Target: 0.210000, Max vel: 1.2230, Min density: 1.3948e+00, Min pressure: 1.2864e+01
